strain	collection_date	geographic_location	consensus_lat	consensus_lon	Pandemic	PubUse
M-519	1967	Turkmenistan: Kizyl-Atrek Region	37.616089	54.769131	Third Pandemic	Unused
M-549	1977	Turkmenistan: Krasnovodsk Region	41.679476	54.966509	Third Pandemic	Unused
M-978	1990	"Russia: Republic of Kalmykia, Ketchenerovsky District"	47.10023	45.707252	Third Pandemic	Unused
MG05-1020	2005	Madagascar	-18.766947	46.869107	Third Pandemic	Used
MGJZ11	2000	"Bayan-Olgii, Mongolia"	48.18	89.5	Third Pandemic	Used
MGJZ12	2002	"Bayan-Olgii, Mongolia"	48.18	89.5	Third Pandemic	Used
MGJZ3	1980	"Govi-Altai, Mongolia"	45.3	95.3	Third Pandemic	Used
MGJZ6	1997	"Dornogovi, Mongolia"	43.7	110.28	Third Pandemic	Used
MGJZ7	1997	"Dornogovi, Mongolia"	43.7	110.28	Third Pandemic	Used
MGJZ9	1998	"Govi-Altai, Mongolia"	45.3	95.3	Third Pandemic	Used
Nairobi	1985	Kenya: Nairobi	-1.292066	36.821946	Third Pandemic	Unused
Nepal516	1967	Nepal	28.394857	84.124008	Third Pandemic	Used
Nicholisk 41	2008	China: Manchuria	45.323359	124.490099	Third Pandemic	Unused
OBS107	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Used
OBS110	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Used
OBS116	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Used
OBS124	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Used
OBS137	1720-1722	"France, Marseille"	43.296482	5.36978	Second Pandemic	Used
PBM19	Missing	Unknown	41.626271	-79.673584	Third Pandemic	Unused
Pestoides A	Missing	Kazakhstan	48.019573	66.923684	Third Pandemic	Used
Pestoides B	<1984	Altai Mountains	49.68891	86.079515	Third Pandemic	Unused
Pestoides F	<1984	Armenia	40.069099	45.038189	Third Pandemic	Used
Pestoides G	<1984	USSR	41.117269	-73.414394	Third Pandemic	Unused
Post6	-1923	"Germany, Augsburg"	48.370545	10.89779	Stone Age/Bronze Age	Used
PY-01	2006	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-02	2006	Peru:Jaen	-5.709441	-78.798618	Third Pandemic	Unused
PY-03	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	Unused
PY-04	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	Unused
PY-05	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	Unused
PY-06	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	Unused
PY-07	2006	"Peru, Chota"	-6.558193	-78.648384	Third Pandemic	Unused
PY-08	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	Unused
PY-09	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	Unused
PY-10	2006	"Peru, Jaen"	-5.709441	-78.798618	Third Pandemic	Unused
PY-100	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-101	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-102	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-103	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-11	2007	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-113	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-12	2008	Peru:Jean	-5.709441	-78.798618	Third Pandemic	Unused
PY-13	2008	Peru:Santa Cruz	-8.89429	-77.7083	Third Pandemic	Unused
PY-14	2009	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-15	2009	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-16	2009	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-19	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-25	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-29	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-32	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-34	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-36	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-42	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-45	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-46	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-47	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-48	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-52	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-53	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-54	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-55	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-56	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-58	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-59	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-60	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	Unused
PY-61	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	Unused
PY-63	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	Unused
PY-64	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	Unused
PY-65	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	Unused
PY-66	2010	Peru:Trujillo	-8.109052	-79.021534	Third Pandemic	Unused
PY-71	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-72	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-76	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-88	2010	Peru:Pacasmayo	-7.404005	-79.565078	Third Pandemic	Unused
PY-89	2010	Peru:Pacasmayo	-7.404005	-79.565078	Third Pandemic	Unused
PY-90	2010	Peru:Pacasmayo	-7.404005	-79.565078	Third Pandemic	Unused
PY-91	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-92	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-93	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-94	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-95	2010	Peru:Chota	-6.558193	-78.648384	Third Pandemic	Unused
PY-96	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-98	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
PY-99	2010	Peru:Ascope	-7.714114	-79.107256	Third Pandemic	Unused
RISE00	-2462	"Estonia, Sope"	59.408	27.026	Stone Age/Bronze Age	Used
RISE139	-2029	"Poland, Chociwel"	50.796	17.094	Stone Age/Bronze Age	Used
RISE386	-2163.5	"Russia, Bulanovo"	52.453	55.16	Stone Age/Bronze Age	Used
RISE397	-966.5	"Armenia, Kapan"	39.2	46.4	Stone Age/Bronze Age	Used
RISE505	-1686	"Russia, Kytmanovo"	53.456	85.447	Stone Age/Bronze Age	Used
RISE509	-2782	"Russia, Afanasievo Gora"	54.584	90.775	Stone Age/Bronze Age	Used
RISE511	-2794	"Russia, Afanasievo Gora"	54.584	90.775	Stone Age/Bronze Age	Used
RK1001	-2770	"Russia, Rasshevatskaya"	45.569582	41.030903	Stone Age/Bronze Age	Used
S3	2002	India: Shimla	31.104815	77.173403	Third Pandemic	Unused
SCPM-O-B-4470	1971	Tajikistan	38.861034	71.276093	Third Pandemic	Unused
SCPM-O-B-4664	1980	Kyrgyzstan	41.20438	74.766098	Third Pandemic	Unused
SCPM-O-B-6176	1984	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-6213	1972	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	Unused
SCPM-O-B-6216	1984	"Mongolia, Hongor Hudag, Bayan"	49.310752	105.922421	Third Pandemic	Unused
SCPM-O-B-6300	1971	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6304	1979	Tajikistan	41.281671	69.262552	Third Pandemic	Unused
SCPM-O-B-6536	1976	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6540	1989	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6706	1986	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	Unused
SCPM-O-B-6706	1986	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	Unused
SCPM-O-B-6757	1968	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6904	1984	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6906	1974	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	Unused
SCPM-O-B-6906	1974	"Mongolia, Bayan-Ulgii"	48.398325	89.662591	Third Pandemic	Unused
SCPM-O-B-6974	2005	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6983	1969	Armenia	40.069099	45.038189	Third Pandemic	Unused
SCPM-O-B-6984	1969	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6986	1970	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6990	1971	Armenia	41.08854	45.34708	Third Pandemic	Unused
SCPM-O-B-6992	1995	Dagestan	42.143189	47.09498	Third Pandemic	Unused
SCPM-O-B-6994	1998	Dagestan	42.143189	47.09498	Third Pandemic	Unused
